Company,Industry,Sector
ACC,Cement-NorthIndia,Cement
AUBANK,Banks-PrivateSector,Banks
ADANIPORTS,Miscellaneous,InfrastructureDevelopers;Operators
ADANIPOWER,PowerGenerationAndSupply,PowerGeneration;Distribution
ADANITRANS,PowerGenerationAndSupply,PowerGeneration;Distribution
ABCAPITAL,Finance;Investments,Finance
ABFRL,Textiles-Products,Retail
AJANTPHARM,Pharmaceuticals-Indian-Formulations,Pharmaceuticals
ALKEM,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
AMARAJABAT,AutoAncillaries,AutoAncillaries
AMBUJACEM,Cement-NorthIndia,Cement
APOLLOHOSP,Healthcare,Healthcare
APOLLOTYRE,Tyres,Tyres
ASHOKLEY,Automobiles-LCVs/HCVs,Automobile
ASIANPAINT,Paints/Varnishes,Paints/Varnish
AUROPHARMA,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
DMART,Trading,Retail
AXISBANK,Banks-PrivateSector,Banks
BAJAJ-AUTO,Automobiles-ScootersAnd3-Wheelers,Automobile
BAJFINANCE,Finance;Investments,Finance
BAJAJFINSV,Finance;Investments,Finance
BAJAJHLDNG,Finance;Investments,Finance
BALKRISIND,Tyres,Tyres
BANDHANBNK,,
BANKBARODA,Banks-PublicSector,Banks
BANKINDIA,Banks-PublicSector,Banks
BATAINDIA,Leather/LeatherProducts,Leather
BERGEPAINT,Paints/Varnishes,Paints/Varnish
BEL,Electronics-Components,ConsumerDurables
BHARATFORG,Castings;Forgings,"Castings,Forgings;Fastners"
BHEL,ElectricEquipment,CapitalGoods-ElectricalEquipment
BPCL,Refineries,Refineries
BHARTIARTL,Telecommunications-ServiceProvider,Telecomm-Service
INFRATEL,TransmissonLineTowers/Equipment,TelecommEquipment;InfraServices
BIOCON,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
BBTC,Tea,Plantation;PlantationProducts
BOSCHLTD,AutoAncillaries,AutoAncillaries
BRITANNIA,Food-Processing-MNC,FMCG
CESC,PowerGenerationAndSupply,PowerGeneration;Distribution
CADILAHC,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
CANBK,Banks-PublicSector,Banks
CASTROLIND,,
CHOLAFIN,Finance;Investments,Finance
CIPLA,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
CUB,,
COALINDIA,Mining/Minerals/Metals,Mining;Mineralproducts
COLPAL,PersonalCare-Multinational,FMCG
CONCOR,Miscellaneous,Logistics
COROMANDEL,Fertilizers,Fertilizers
CROMPTON,ElectricEquipment,CapitalGoods-ElectricalEquipment
CUMMINSIND,Engines,CapitalGoods-NonElectricalEquipment
DLF,Construction,Realty
DABUR,PersonalCare-Indian,FMCG
DALBHARAT,Cement-SouthIndia,Cement
DIVISLAB,Pharmaceuticals-Indian-BulkDrugs,Pharmaceuticals
DRREDDY,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
EDELWEISS,Finance;Investments,Finance
EICHERMOT,Automobiles-Motorcycles/Mopeds,Automobile
EMAMILTD,PersonalCare-Indian,FMCG
ENDURANCE,AutoAncillaries,AutoAncillaries
ENGINERSIN,Engineering-TurnkeyServices,InfrastructureDevelopers;Operators
ESCORTS,Automobiles-Tractors,Automobile
EXIDEIND,AutoAncillaries,AutoAncillaries
FEDERALBNK,Banks-PrivateSector,Banks
FORTIS,Healthcare,Healthcare
FCONSUMER,Trading,Trading
FRETAIL,Trading,Retail
GAIL,Miscellaneous,GasDistribution
GMRINFRA,Engineering-TurnkeyServices,InfrastructureDevelopers;Operators
GICRE,Finance;Investments,Insurance
GLENMARK,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
GODREJAGRO,Food-Processing-Indian,Miscellaneous
GODREJCP,PersonalCare-Indian,FMCG
GODREJIND,Chemicals,Chemicals
GODREJPROP,Construction,Realty
GRAPHITE,Electrodes-Graphites,CapitalGoods-NonElectricalEquipment
GRASIM,Textiles-Manmade,Textiles
GSPL,Miscellaneous,GasDistribution
HEG,Electrodes-Graphites,CapitalGoods-NonElectricalEquipment
HCLTECH,Computers-Software-Large,IT-Software
HDFCAMC,,
HDFCBANK,Banks-PrivateSector,Banks
HDFCLIFE,Finance;Investments,Insurance
HAVELLS,ElectricEquipment,CapitalGoods-ElectricalEquipment
HEROMOTOCO,Automobiles-Motorcycles/Mopeds,Automobile
HEXAWARE,Computers-Software-Medium/Small,IT-Software
HINDALCO,AluminiumandAluminiumProducts,NonFerrousMetals
HINDPETRO,Refineries,Refineries
HINDUNILVR,PersonalCare-Multinational,FMCG
HINDZINC,,
HUDCO,Finance-Housing,Finance
HDFC,Finance-Housing,Finance
ICICIBANK,Banks-PrivateSector,Banks
ICICIGI,,
ICICIPRULI,Finance;Investments,Insurance
IDBI,Banks-PrivateSector,Banks
IDFCFIRSTB,Banks-PrivateSector,Banks
ITC,Cigarettes,TobaccoProducts
IBULHSGFIN,Finance-Housing,Finance
IBVENTURES,Finance;Investments,Finance
INDIANB,Banks-PublicSector,Banks
INDHOTEL,Hotels,Hotels;Restaurants
IOC,Refineries,Refineries
IGL,Miscellaneous,GasDistribution
INDUSINDBK,Banks-PrivateSector,Banks
NAUKRI,Miscellaneous,E-Commerce/AppbasedAggregator
INFY,Computers-Software-Large,IT-Software
INDIGO,Transport-Airlines,AirTransportService
IPCALAB,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
JSWENERGY,PowerGenerationAndSupply,PowerGeneration;Distribution
JSWSTEEL,Steel-Large,Steel
JINDALSTEL,Steel-SpongeIron,Steel
JUBLFOOD,Food-Processing-MNC,Miscellaneous
JUBILANT,Pharmaceuticals-Indian-BulkDrugs,Pharmaceuticals
KOTAKBANK,Banks-PrivateSector,Banks
L&TFH,Finance;Investments,Finance
LTTS,Computers-Software-Medium/Small,IT-Software
LICHSGFIN,Finance-Housing,Finance
LTI,Computers-Software-Medium/Small,IT-Software
LT,Engineering-TurnkeyServices,InfrastructureDevelopers;Operators
LUPIN,Pharmaceuticals-Indian-BulkDrugs,Pharmaceuticals
MRF,Tyres,Tyres
MGL,,
M&MFIN,Finance;Investments,Finance
M&M,Automobiles-PassengerCars,Automobile
MANAPPURAM,Finance;Investments,Finance
MRPL,Refineries,Refineries
MARICO,PersonalCare-Indian,FMCG
MARUTI,Automobiles-PassengerCars,Automobile
MFSL,Finance;Investments,Finance
MINDTREE,Computers-Software-Medium/Small,IT-Software
MOTHERSUMI,AutoAncillaries,AutoAncillaries
MPHASIS,Computers-Software-Large,IT-Software
MUTHOOTFIN,Finance;Investments,Finance
NATCOPHARM,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
NBCC,Construction,Realty
NHPC,PowerGenerationAndSupply,PowerGeneration;Distribution
NMDC,Mining/Minerals/Metals,Mining;Mineralproducts
NTPC,PowerGenerationAndSupply,PowerGeneration;Distribution
NATIONALUM,AluminiumandAluminiumProducts,NonFerrousMetals
NESTLEIND,,
NAM-INDIA,Finance;Investments,Finance
OBEROIRLTY,Construction,Realty
ONGC,OilDrilling/AlliedServices,CrudeOil;NaturalGas
OIL,OilDrilling/AlliedServices,CrudeOil;NaturalGas
OFSS,Computers-Software-Large,IT-Software
PIIND,Pesticides/Agrochemicals-Indian,AgroChemicals
PNBHOUSING,Finance-Housing,Finance
PAGEIND,,
PETRONET,Miscellaneous,GasDistribution
PFIZER,Pharmaceuticals-Multinational,Pharmaceuticals
PIDILITIND,Chemicals,Chemicals
PEL,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
PFC,Finance-Term-LendingInstitutions,Finance
POWERGRID,PowerGenerationAndSupply,PowerGeneration;Distribution
PRESTIGE,Construction,Realty
PGHH,,
PNB,Banks-PublicSector,Banks
QUESS,Diversified-Large,Diversified
RBLBANK,Banks-PrivateSector,Banks
RECLTD,Finance-Term-LendingInstitutions,Finance
RAJESHEXPO,DiamondCutting/Jewellery,"Diamond,GemsandJewellery"
RELIANCE,Refineries,Refineries
SBILIFE,,
SRF,Textiles-Manmade,Textiles
SHREECEM,Cement-NorthIndia,Cement
SRTRANSFIN,Finance;Investments,Finance
SIEMENS,ElectricEquipment,CapitalGoods-ElectricalEquipment
SBIN,Banks-PublicSector,Banks
SAIL,Steel-Large,Steel
STRTECH,Cables-Telephone,Cables
SUNPHARMA,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
SUNTV,Entertainment/ElectronicMediaSoftware,Entertainment
SYNGENE,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
TVSMOTOR,Automobiles-Motorcycles/Mopeds,Automobile
TCS,Computers-Software-Large,IT-Software
TATACONSUM,Tea,Plantation;PlantationProducts
TATAMTRDVR,,
TATAMOTORS,Automobiles-LCVs/HCVs,Automobile
TATAPOWER,PowerGenerationAndSupply,PowerGeneration;Distribution
TATASTEEL,Steel-Large,Steel
TECHM,Computers-Software-Large,IT-Software
NIACL,Finance;Investments,Insurance
RAMCOCEM,Cement-SouthIndia,Cement
TITAN,DiamondCutting/Jewellery,"Diamond,GemsandJewellery"
TORNTPHARM,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
TORNTPOWER,PowerGenerationAndSupply,PowerGeneration;Distribution
UPL,Pesticides/Agrochemicals-Indian,AgroChemicals
ULTRACEMCO,Cement-NorthIndia,Cement
UNIONBANK,Banks-PublicSector,Banks
UBL,Breweries;Distilleries,AlcoholicBeverages
MCDOWELL-N,Breweries;Distilleries,AlcoholicBeverages
VGUARD,ElectricEquipment,CapitalGoods-ElectricalEquipment
VARROC,AutoAncillaries,AutoAncillaries
VBL,Food-Processing-Indian,FMCG
VEDL,Mining/Minerals/Metals,Mining;Mineralproducts
IDEA,Telecommunications-ServiceProvider,Telecomm-Service
VOLTAS,Diversified-Mega,Diversified
WHIRLPOOL,DomesticAppliances,ConsumerDurables
WIPRO,Computers-Software-Large,IT-Software
ZEEL,Entertainment/ElectronicMediaSoftware,Entertainment
